City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Sola,VU,82.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
407,Santa Fe,AR,74.01,light rain,-31.6333,-60.7,Conquistador Hotel
409,Boa Vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
417,Altamira,BR,74.01,overcast clouds,-3.2033,-52.2064,Requinte Hotel
419,Macia,MZ,75.96,overcast clouds,-25.0269,33.0989,Hotel Taskin Macia
423,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
424,Ibirapitanga,BR,70.86,overcast clouds,-14.1642,-39.3736,Barbearia Clube do Talento
428,Cap Malheureux,MU,82.89,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
430,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
436,Luganville,VU,83.7,broken clouds,-15.5333,167.1667,The Espiritu Hotel
440,Port Blair,IN,81.55,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
442,Tecoanapa,MX,76.37,scattered clouds,16.5167,-98.75,Hotel Manglares
445,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
449,Vila Do Maio,CV,72.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
452,Payo,ID,81.57,overcast clouds,-3.7508,103.6372,Mess keban agung
454,Mabaruma,GY,72.19,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
455,Champerico,GT,75.76,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
466,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
470,Tame,CO,73.54,broken clouds,6.461,-71.73,Hospedaje Santa Ana
473,Jacareacanga,BR,73.06,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
474,Oriximina,BR,73.76,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
475,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
478,Port-Gentil,GA,79.32,overcast clouds,-0.7193,8.7815,Fengshui Residence
480,Yanam,IN,84.6,overcast clouds,16.7333,82.2167,The Regency Hotel
483,Souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
489,Palembang,ID,86.09,moderate rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
495,Berbera,SO,76.42,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
496,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
498,Batticaloa,LK,80.53,overcast clouds,7.7102,81.6924,Grand Star Guest House
504,Cururupu,BR,74.77,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
507,Banikoara,BJ,71.82,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
512,Tucurui,BR,73.31,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
515,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
522,Mount Hagen,PG,77.76,haze,-5.8581,144.2274,Highlander Hotel & Apartments
524,Phan Thiet,VN,77.36,broken clouds,10.9333,108.1,Hotel Saigon-PT
528,Tutoia,BR,80.49,broken clouds,-2.7619,-42.2744,Pousada Guará's
529,Luzilandia,BR,75.56,light rain,-3.4578,-42.3703,Pousada Pontes
532,Dong Hoi,VN,71.49,broken clouds,17.4833,106.6,Nam Long Hotel
540,Aransas Pass,US,73.63,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
542,Abengourou,CI,71.91,overcast clouds,6.7297,-3.4964,Hotel des Princes
546,Quang Ngai,VN,74.05,few clouds,15.1167,108.8,Central Hotel
549,Majene,ID,83.25,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
551,Labuhan,ID,84.45,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
552,Pokhara,NP,71.74,broken clouds,28.2333,83.9833,Butterfly Lodge
556,Mapiripan,CO,73.94,overcast clouds,2.8892,-72.1256,Monserrate
557,Poum,NC,81.07,scattered clouds,-20.2333,164.0167,Gîte kajeon
560,Mahibadhoo,MV,82.53,few clouds,3.7833,72.9667,Omadhoo Inn
563,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
564,Santiago Del Estero,AR,81.88,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
566,Salinopolis,BR,77.99,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
568,Baguanos,CU,73.69,broken clouds,20.7517,-76.0269,Magalis y William
570,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,Bushido Lodge
573,Umm Lajj,SA,73.89,scattered clouds,25.0213,37.2685,Moon light Furnished Units
580,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
581,Salta,AR,75.79,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
590,Lamu,KE,84.42,broken clouds,-2.2717,40.902,Lamu House
591,Sorong,ID,82.36,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
594,Gorontalo,ID,83.79,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
596,Malakal,SS,77.88,few clouds,9.5334,31.6605,Nile Palace Hotel
598,Richards Bay,ZA,71.69,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
615,Neiafu,TO,84.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
616,Chimore,BO,73.69,overcast clouds,-16.9833,-65.1333,Bichito
620,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
621,Tete,MZ,82.49,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
622,Rondonopolis,BR,73.98,scattered clouds,-16.4708,-54.6356,Serras Hotel
624,General Bravo,MX,71.94,clear sky,25.8,-99.1667,Hotel Don Joaquin
625,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
628,Jizan,SA,74.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
629,Samarinda,ID,86.74,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
636,Marsh Harbour,BS,73.45,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
638,Sainte-Rose,GP,77.04,scattered clouds,16.3324,-61.6979,Villa - Duzer
645,Mancio Lima,BR,73.56,overcast clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
648,Sibolga,ID,85.78,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
655,Anicuns,BR,70.3,overcast clouds,-16.4611,-49.9617,Hotel Florida
658,Yarada,IN,79.12,moderate rain,17.65,83.2667,Vishranti
665,Bustamante,MX,71.46,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
670,Tanda,IN,71.28,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
681,Omboue,GA,76.05,overcast clouds,-1.5746,9.2618,Hotel Olako
682,Itacare,BR,73.83,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
684,Kroya,ID,84.72,light rain,-7.6331,109.2461,RUSTANTO Fam
687,Loubomo,CG,71.94,moderate rain,-4.1997,12.6739,La Dolisienne
688,Antonina,BR,70.74,overcast clouds,-25.4286,-48.7119,Hotel Capelista
